27070,SocialMedia,jean mathena,Facebook,984
27071,SocialMedia,nathanial bridgers,Twitter,2711
27072,SocialMedia,nathanial bridgers,Instagram,7245
27073,SocialMedia,alethea shedrick,LinkedIn,2360
27074,SocialMedia,ileen brungardt,Twitter,9122
27075,SocialMedia,jean mathena,Instagram,3026
27076,SocialMedia,wally zamzow,LinkedIn,9408
27077,SocialMedia,jean mathena,Instagram,8126
27078,SocialMedia,alethea shedrick,Instagram,9528
27079,SocialMedia,ozie rowan,Facebook,7542
27080,SocialMedia,davis calbert,LinkedIn,1929
27081,SocialMedia,rodney yale,LinkedIn,5028
27082,SocialMedia,nathanial bridgers,Instagram,7601
27083,SocialMedia,ivana stmartin,LinkedIn,9518
27084,SocialMedia,nathanial bridgers,Twitter,2777
27085,SocialMedia,randal blackshire,Instagram,2397
27086,SocialMedia,shari damelio,YouTube,4446
27087,SocialMedia,mirian scarbrough,Facebook,5507
27088,SocialMedia,wally zamzow,Twitter,9695
27089,SocialMedia,alethea shedrick,YouTube,85
27090,SocialMedia,nathanial bridgers,Instagram,1651
27091,SocialMedia,shari damelio,LinkedIn,4639
27092,SocialMedia,ivana stmartin,Facebook,9599
27093,SocialMedia,rodney yale,Instagram,6518
27094,SocialMedia,vern proto,Facebook,2136
27095,SocialMedia,ozie rowan,YouTube,884
27096,SocialMedia,ileen brungardt,Twitter,6557
27097,SocialMedia,jeri tardy,Facebook,1944
27098,SocialMedia,mirian scarbrough,Instagram,7411
27099,SocialMedia,dot brautigam,YouTube,2356
27100,SocialMedia,jeri tardy,Instagram,6718
27101,SocialMedia,randal blackshire,Twitter,2890
27102,SocialMedia,ozie rowan,Facebook,1419
27103,SocialMedia,wally zamzow,LinkedIn,3271
27104,SocialMedia,ivana stmartin,YouTube,6809
27105,SocialMedia,shari damelio,Instagram,7148
27106,SocialMedia,vern proto,Twitter,2611
27107,SocialMedia,mirian scarbrough,Instagram,7978
27108,SocialMedia,krystle blas,YouTube,962
27109,SocialMedia,carlton casaus,Twitter,8597
27110,SocialMedia,shari damelio,Facebook,6819
27111,SocialMedia,jean mathena,LinkedIn,5713
27112,SocialMedia,rodney yale,Facebook,3635
27113,SocialMedia,alethea shedrick,LinkedIn,8430
27114,SocialMedia,krystle blas,YouTube,7906
27115,SocialMedia,florance yaeger,Twitter,3789
27116,SocialMedia,mirian scarbrough,Instagram,3150
27117,SocialMedia,shari damelio,YouTube,2258
27118,SocialMedia,ozie rowan,LinkedIn,3914
27119,SocialMedia,ileen brungardt,Twitter,3671
27120,SocialMedia,alethea shedrick,Facebook,6232
27121,SocialMedia,jeri tardy,Instagram,1944
27122,SocialMedia,vern proto,YouTube,8000
27123,SocialMedia,krystle blas,LinkedIn,1229
27124,SocialMedia,mirian scarbrough,YouTube,9253
27125,SocialMedia,florance yaeger,Facebook,4818
27126,SocialMedia,ileen brungardt,Instagram,242
27127,SocialMedia,ozie rowan,LinkedIn,2878
27128,SocialMedia,wally zamzow,Twitter,8371
27129,SocialMedia,clarinda sappington,Facebook,5699
27130,SocialMedia,jonas parkerson,Twitter,7906
27131,SocialMedia,shari damelio,YouTube,661
27132,SocialMedia,krystle blas,LinkedIn,3998
27133,SocialMedia,nathanial bridgers,YouTube,2194
27134,SocialMedia,jeri tardy,Twitter,2633
27135,SocialMedia,ileen brungardt,LinkedIn,745
27136,SocialMedia,nathanial bridgers,Facebook,1974
27137,SocialMedia,randal blackshire,Instagram,517
27138,SocialMedia,vern proto,Facebook,8186
27139,SocialMedia,vern proto,LinkedIn,1180
27140,SocialMedia,ivana stmartin,YouTube,5270
27141,SocialMedia,dot brautigam,Twitter,6523
27142,SocialMedia,ileen brungardt,Instagram,4500
27143,SocialMedia,dot brautigam,Instagram,3468
27144,SocialMedia,jonas parkerson,YouTube,8250
27145,SocialMedia,wally zamzow,LinkedIn,2827
27146,SocialMedia,ileen brungardt,Twitter,5581
27147,SocialMedia,jean mathena,Facebook,4594
27148,SocialMedia,ozie rowan,Twitter,7920
27149,SocialMedia,jonas parkerson,YouTube,2223
27150,SocialMedia,shari damelio,LinkedIn,2226
27151,SocialMedia,wally zamzow,Instagram,5173
27152,SocialMedia,dot brautigam,Facebook,5422
27153,SocialMedia,krystle blas,Instagram,1809
27154,SocialMedia,clarinda sappington,Twitter,8948
27155,SocialMedia,shari damelio,YouTube,5157
27156,SocialMedia,ileen brungardt,Facebook,5933
27157,SocialMedia,jonas parkerson,LinkedIn,5641
27158,SocialMedia,vern proto,YouTube,6962
27159,SocialMedia,carlton casaus,Twitter,4442
27160,SocialMedia,jeri tardy,Twitter,1524
27161,SocialMedia,alethea shedrick,LinkedIn,4096
